landmark_name,landmark_address
관세박물관,서울특별시 강남구 언주로 721(논현동)
관악구민종합체육센터,서울특별시 관악구 봉천동 225
관악구청,서울특별시 관악구 관악로 145
관악문화재단,서울특별시 관악구 신림동 209-1
관악산공원야외식물원,서울특별시 관악구 신림동 205-1
관악산야외식물원,서울특별시 관악구 신림동 205-1
관악신사시장,서울특별시 관악구 신림동 494
관음사,서울특별시 관악구 남현동 519-3
관훈갤러리,서울특별시 종로구 관훈동 195
광나루안전체험관,서울특별시 광진구 능동 18-61
광륜사,서울특별시 도봉구 도봉동 401
광석교회,서울특별시 동대문구 왕산로26길 49
광운대학교,서울특별시 노원구 월계동 447-1
광운대학교_노천극장,서울특별시 노원구 월계동 447-1
광운대학교_누리관,서울특별시 노원구 월계동 505-2
광운대학교_다산재,서울특별시 노원구 월계동 447-1
광운대학교_동해문화예술관,서울특별시 노원구 월계동 447-1
광운대학교_복지관,서울특별시 노원구 월계동 447-1
광운대학교_비마관,서울특별시 노원구 월계동 447-1
광운대학교_새빛관,서울특별시 노원구 월계동 447-1
광운대학교_승리관,서울특별시 노원구 월계동 447-46
광운대학교_아이스링크장,서울특별시 노원구 월계동 466
광운대학교_연구관,서울특별시 노원구 월계동 466
광운대학교_옥의관,서울특별시 노원구 월계동 447-1
광운대학교_중앙도서관,서울특별시 노원구 월계동 447-1
광운대학교_참빛관,서울특별시 노원구 월계동 447-1
광운대학교_한울관,서울특별시 노원구 월계동 466
광운대학교_한천재,서울특별시 노원구 월계동 465-25
광운대학교_화도관,서울특별시 노원구 월계동 447-1
광장사거리,서울특별시 광진구 광장동
광장시장,서울특별시 종로구 창경궁로 88
광진광장,서울특별시 광진구 광나루로 389
광진교,서울특별시 강동구 천호동
광진구민체육센터,서울특별시 광진구 구천면로 2
광진구의회,서울특별시 광진구 능동로 76 광진문화예술회관 및 구의회청사
광진구청,서울특별시 광진구 자양로 117 광진구청
광진노인종합복지관,서울특별시 광진구 군자로 88
광진문화예술회관,서울특별시 광진구 능동로 76 광진문화예술회관 및 구의회청사
광진소방서,서울특별시 광진구 광나루로 480 광진소방서
광진정보도서관,서울특별시 광진구 광장동 113
광진청소년센터,서울특별시 광진구 구천면로 2
광통교,서울특별시 종로구 서린동
광화문,서울특별시 종로구 효자로 12
광화문광장,서울특별시 종로구 세종대로 172
광화문아트홀,서울특별시 종로구 사직동 284-1
광흥당,서울특별시 마포구 독막로21길 15(창전동)
광희동사거리,서울특별시 중구 광희동2가
광희문,서울특별시 중구 광희동2가
광희패션몰,서울특별시 중구 신당동 777
교보강남타워,서울특별시 서초구 서초동 1303-22
교보타워사거리,서울특별시 서초구 서초동
구공업전습소본관,서울특별시 종로구 동숭동 199-51
구구갤러리,서울특별시 양천구 목동중앙서로9길 30
구로공단노동자생활체험관,서울특별시 금천구 벚꽃로44길 17(가산동)
구로구청,서울특별시 구로구 가마산로 245 구로구청
구로근린공원,서울특별시 구로구 구로동
구로기계공구단지,서울특별시 구로구 구로중앙로 198(구로동)
구로시장,서울특별시 구로구 구로동 736-1
구로시장떡볶이골목,서울특별시 구로구 구로동 736-1
구로아트밸리예술극장,서울특별시 구로구 구로동 101
구로역,서울특별시 구로구 구로중앙로 174
구로역광장분수대,서울특별시 구로구 구로동 603-13
구로우성아파트,서울특별시 구로구 공원로6가길 67
구립구산동도서관마을,서울특별시 은평구 구산동 17-37
구립김영삼도서관,서울특별시 동작구 매봉로 1
구립용산장애인복지관,서울특별시 용산구 효창원로93길 49 구립용산장애인복지관
구립월곡배드민턴전용체육관,서울특별시 성북구 화랑로13길 144
구립증산정보도서관,서울특별시 은평구 증산동 173-8
구립청파도서관,서울특별시 용산구 서계동 227-1
구산동경남아너스빌,서울특별시 은평구 구산동224
구산브라운스톤아파트,서울특별시 은평구 구산동159-10
구서울대학교본관,서울특별시 종로구 동숭동 1-130
구암공원,서울특별시 강서구 가양동 1471
구암공원_광장,서울특별시 강서구 가양동 1471
구암공원_광주바위,서울특별시 강서구 가양동 1471
구암공원_허준선생동상,서울특별시 강서구 가양동 1471
구암정,서울특별시 강동구 암사동 산1
구의공원,서울특별시 광진구 광나루로56길 86
구의동성당,서울특별시 광진구 자양로33길 8
구의야구공원,서울특별시 광진구 구의동 164-5
구파발 금호어울림10단지,서울특별시 은평구 진관동27
구파발 삼성래미안9단지,서울특별시 은평구 진관동 25
구파발인공폭포,서울특별시 은평구 진관동 산94-1
국기원(세계태권도본부),서울특별시 강남구 역삼동 635
국립4.19민주묘지,서울특별시 강북구 수유동 산7-1
국립경찰병원,서울특별시 송파구 송이로 123 국립경찰병원
국립국악박물관,서울특별시 서초구 서초동 700
국립국악원,서울특별시 서초구 서초동 700
국립국악원_예악당,서울특별시 서초구 서초동 700
국립국악원_우면당,서울특별시 서초구 서초동 700
국립극장,서울특별시 중구 장충단로 59(장충동2가)
국립극장_KB국민은행청소년하늘극장,서울특별시 중구 장충동2가 산14-67
국립극장_달오름극장,서울특별시 중구 장충동2가 산14-67
국립농산물품질관리원서울사무소,서울특별시 동대문구 장안1동 432-2
국립민속박물관,서울특별시 종로구 세종로 1-1
국립산림과학원_IUFRO세계총회기념관,서울특별시 동대문구 청량리동 207
국립서울현충원,서울특별시 동작구 동작동 271-18
국립서울현충원_경찰충혼탑,서울특별시 동작구 동작동 220-1
국립서울현충원_김대중대통령묘소,서울특별시 동작구 동작동 299-13
국립서울현충원_김영삼대통령묘소,서울특별시 동작구 동작동 222-4
국립서울현충원_대한독립군무명용사위령탑,서울특별시 동작구 동작동 222-4
국립서울현충원_독립유공자묘역,서울특별시 동작구 동작동 222-17
국립서울현충원_만남의집,서울특별시 동작구 동작동 산41-2
국립서울현충원_봉안식장,서울특별시 동작구 동작동 222-4
국립서울현충원_육사7기특별동기생추모탑,서울특별시 동작구 동작동 225-4
국립서울현충원_육탄10용사현충비,서울특별시 동작구 동작동 215-15
국립서울현충원_임시정부요인묘역,서울특별시 동작구 동작동 222-4
국립서울현충원_장군제3묘역,서울특별시 동작구 동작동 222-4
국립서울현충원_재일학도의용군전몰용사위령비,서울특별시 동작구 동작동 224-3
국립서울현충원_충성분수대,서울특별시 동작구 동작동 209-8
국립서울현충원_충혼당,서울특별시 동작구 동작동 222-4
국립서울현충원_충혼승천상,서울특별시 동작구 동작동 194-1
국립서울현충원_포병위령충혼비,서울특별시 동작구 동작동 133
국립서울현충원_학도의용군무명용사탑,서울특별시 동작구 동작동 225-4
국립서울현충원_현충관,서울특별시 동작구 동작동 산41-2
국립서울현충원_현충문,서울특별시 동작구 동작동 산41-2
국립서울현충원_호국전시관,서울특별시 동작구 동작동 산41-2
국립어린이청소년도서관,서울특별시 강남구 역삼동 635-1
국립예술단체공연연습장,서울특별시 서초구 서초동 산130-24
국립중앙도서관,서울특별시 서초구 반포동 산60-1
국립중앙박물관,서울특별시 용산구 서빙고로 137
국립중앙박물관극장용,서울특별시 용산구 용산동6가 11-426
국립한글박물관,서울특별시 용산구 서빙고로 139
국립항공박물관,서울특별시 강서구 공항동 1373-5
국립현대미술관,서울특별시 종로구 소격동 165
국립현대미술관창동레지던시,서울특별시 도봉구 창동 601-107
국민대학교,서울특별시 성북구 정릉동 861-1
국민대학교_GRANDEFLORE,서울특별시 성북구 정릉동 861-1
국민대학교_MR.Doctor,서울특별시 성북구 정릉동 861-1
국민대학교_경상관,서울특별시 성북구 정릉동 861-1
국민대학교_경영관,서울특별시 성북구 정릉동 861-1
국민대학교_공학관,서울특별시 성북구 정릉동 861-1
국민대학교_국제관,서울특별시 성북구 정릉동 861-1
국민대학교_글로벌센터,서울특별시 성북구 정릉동 산1-255
국민대학교_명원민속관,서울특별시 성북구 정릉동 855-2
국민대학교_미랑관,서울특별시 성북구 정릉동 855-2
국민대학교_미래관,서울특별시 성북구 정릉동 855-2
국민대학교_법학관,서울특별시 성북구 정릉동 861-1
국민대학교_본부관,서울특별시 성북구 정릉동 861-1
국민대학교_북악관,서울특별시 성북구 정릉동 861-1
국민대학교_산학협력관,서울특별시 성북구 정릉동 861-1
국민대학교_성곡도서관,서울특별시 성북구 정릉동 861-1
국민대학교_성곡동상,서울특별시 성북구 정릉동 861-1
국민대학교_영빈관,서울특별시 성북구 정릉동 853-3
국민대학교_예술관,서울특별시 성북구 정릉동 861-1
국민대학교_용두리,서울특별시 성북구 정릉동 861-1
국민대학교_조형관,서울특별시 성북구 정릉동 861-1
국민대학교_종합복지관,서울특별시 성북구 정릉동 861-1
국민대학교_체육관,서울특별시 성북구 정릉동 861-1
국민대학교_콘서트홀,서울특별시 성북구 정릉동 861-1
국민대학교_혜랑관,서울특별시 성북구 정릉동 861-1
국민대학교성곡도서관,서울특별시 성북구 정릉로 77 국민대학교
국제선센터,서울특별시 양천구 신정동 319-11
국제예술대학교,서울특별시 강남구 도산대로30길 47 국제예술대학교
국토발전전시관,서울특별시 중구 정동길 18
국회의사당,서울특별시 영등포구 의사당대로 1
국회의사당_국회의정관,서울특별시 영등포구 여의도동 1
국회의사당_국회헌정기념관,서울특별시 영등포구 여의도동 1
국회의사당_식물원,서울특별시 영등포구 여의도동 1
국회의사당_제2의원회관,서울특별시 영등포구 여의도동 1
군자교사거리,서울특별시 광진구 군자동
군자역,서울특별시 광진구 천호대로 550
그랜드워커힐서울,서울특별시 광진구 워커힐로 177
그랜드하얏트서울,서울특별시 용산구 소월로 322
그레뱅뮤지엄,서울특별시 중구 을지로1가 63
극락사,서울특별시 중랑구 망우동 73-10
근현대사기념관,서울특별시 강북구 수유동 산73-23
금강아산병원,서울특별시 용산구 이촌로 318
금나래아트홀,서울특별시 금천구 시흥동 1020
금나래아트홀도서관,서울특별시 금천구 시흥1동 1020
금나래중앙공원,서울특별시 금천구 독산동
금남시장,서울특별시 성동구 독서당로 303-7
금암기적비,서울특별시 은평구 진관동
금암문화공원,서울특별시 은평구 진관동
금천3동행정복지센터,서울특별시 금천구 독산로 317 B동
금천구립가산도서관,서울특별시 금천구 가산동 235-3
금천구립독산도서관,서울특별시 금천구 독산동 375-2
금천구청,서울특별시 금천구 시흥대로73길 70 금천구 종합청사
금천문화예술정보학교,서울특별시 금천구 남부순환로126길 25 금천문화예술정보학교
금천문화원,서울특별시 금천구 시흥대로38길 61(시흥동)
